region,status,count
Beijing,valid,1
Jiangsu,in review,1
Jiangsu,in review,1
Hebei,valid,1
Hebei,valid,1
Hubei,valid,1
Liaoning,valid,1
Guangdong,in review,1
Guangdong,in review,1
Shanghai,in review,1
Shanghai,valid,1
Zhejiang,valid,1
Guangdong,in review,1
Guangdong,valid,1
Jiangsu,valid,1
Hebei,invalid,1
Jilin,invalid,1
Hubei,invalid,1
Guangdong,invalid,1
Liaoning,invalid,1
Liaoning,invalid,1
Hubei,invalid,1
Liaoning,invalid,1
Shanghai,invalid,1
Jilin,invalid,1
Fujian,invalid,1
Fujian,invalid,1
Hebei,invalid,1
Beijing,in review,1
Shanghai,valid,1
Chongqing,valid,1
Liaoning,valid,1
Liaoning,valid,1
Fujian,valid,1
Beijing,in review,1
Guangdong,valid,1
Liaoning,valid,1
Liaoning,valid,1
Shanghai,valid,1
Heilongjiang,invalid,1
Shanghai,invalid,1
Fujian,invalid,1
Shanghai,invalid,1
Shanghai,invalid,1
Shanghai,invalid,1
Shandong,invalid,1
Shandong,invalid,1
Guangdong,valid,1
Liaoning,in review,1
Guangdong,valid,1
Guangdong,valid,1
Jiangsu,valid,1
Zhejiang,valid,1
Hunan,valid,1
Jilin,valid,1
Jiangxi,valid,1
Jiangxi,valid,1
Jiangxi,valid,1
Jiangxi,valid,1
Jiangxi,valid,1
Jiangxi,valid,1
Jiangxi,valid,1
Beijing,in review,1
Beijing,in review,1
Jiangsu,invalid,1
Zhejiang,invalid,1
Shanghai,invalid,1
Jiangsu,invalid,1
Guangdong,invalid,1
Hunan,invalid,1
Hunan,invalid,1
Hunan,invalid,1
Hunan,invalid,1
Hunan,invalid,1
Tianjin,invalid,1
Beijing,invalid,1
Hunan,invalid,1
Shanghai,invalid,1
Hunan,invalid,1
Hongkong,invalid,1
Shanghai,invalid,1
Guangdong,invalid,1
Guangdong,invalid,1
Guangdong,invalid,1
Beijing,invalid,1
Shanghai,invalid,1
Jiangsu,invalid,1
Jiangsu,invalid,1
Hunan,invalid,1
Jiangxi,invalid,1
