from,to
A61K,A61P
A61K,A61K
A61K,A61K
C07H,C07H
A61P,A61K
C07H,C07F
C07D,A61P
A61K,A61K
A61K,A61K
A61K,A61P
A61K,A61K
A61K,A61K
C07H,C07H
A61K,A61K
C07H,C07H
C07H,C07H
C07H,A61K
C07H,C07H
C07H,A61K
A61K,A61P
C07D,A61P
A61K,A61P
A61K,A61P
A61K,A61P
C07D,A61P
A61K,A61P
A61K,A61K
C07D,C07D
C07D,A61P
C07D,C07H
C07D,A61K
C07H,A61K
C07H,A61P
A61K,A61P
A61K,A61P
A61K,C07H
C07H,A61P
A61K,A61K
C07D,C07C
A61K,A61K
A61K,A61K
A61K,A61K
A61K,A61P
A61K,A61K
A61K,C07F
A61K,A61P
A61K,A61P
A61K,A61K
A61K,A61K
A61K,A61K
A61K,A61K
A61K,A61K
A61K,A61K
A61K,A61K
A61K,A61K
C07D,A61P
C07D,A61P
C07D,C07C
C07D,A61P
C07D,A61P
A61K,A61K
A61K,C07D
A61K,A61K
A61K,A61K
A61K,A61K
A61K,A61K
C07D,A61P
A61K,A61P
A61K,A61K
A61K,A61K
C07D,A61P
C07D,A61P
A61K,A61K
A61K,A61K
A61K,A61K
A61K,A61K
A61K,A61P
A61K,C07D
A61K,A61K
C07D,A61K
C07D,C07F
A61K,A61K
A61K,A61K
C07C,A61K
C07C,A61K
C07C,A61K
C07C,A61K
C07C,A61P
C07C,A61P
C07H,A61P
A61K,A61P
C07D,A61K
A61K,A61P
C07H,A61K
A61K,A61P
C07H,A61K
C07H,A61K
A61K,A61P
A61K,A61P
C07D,A61P
C07D,A61P
C07D,C07H
C07C,C07D
A61K,A61K
A61K,A61K
C07D,A61P
C07D,A61K
C07D,A61K
C07D,A61P
A61K,A61P
A61K,A61P
A61K,C07D
A61K,C07K
C07C,A61K
C07D,A61P
C07D,A61P
A61K,A61K
C07D,C07D
C07C,C07B
C07D,C07D
C07D,C07D
C07D,A61P
A61K,A61P
A61K,C07D
A61K,A61K
C07H,C12Q
A61K,A61P
A61K,A61K
A61K,A61P
A61K,A61K
A61K,C07D
A61K,A61P
C07H,A61K
A61K,A61P
A61K,A61K
A61K,A61Q
C07F,A61K
C07D,A61K
C07D,A61P
C07D,A61K
C07D,A61P
C07D,A61P
C07D,A61P
C07D,C07C
C07D,A61P
C07D,A61P
C07D,A61P
C07D,A61P
C07C,C07C
C07D,A61K
C07D,A61P
C07D,A61K
C07D,A61K
A61K,A61K
C07D,C07C
A61K,C07D
C07D,C07D
A61K,A61P
A61K,A61K
C07C,C07C
A61K,A61K
A61K,C07C
C07D,A61K
C07D,A61K
C07C,A61K
C07D,A61P
C07C,A61K
C07C,C07C
A61K,A01K
C07D,A61K
C07D,A61K
C07C,C12P
C07D,A61P
C07D,A61K
C07D,A61P
C07D,C07D
C07D,A61P
C07D,A61P
C07D,C12P
C07D,A61P
C07C,C07C
C07C,C07C
C07D,A61P
C07D,A61P
C07D,A61K
C07D,A61P
C07D,A61P
C07C,C07C
C07D,A61K
C07D,A61P
C07D,A61P
C07D,A61P
C07D,A61P
C07C,C07D
C07C,C07C
C07C,A61K
C07D,A61K
A61K,A61K
C07D,A61P
A61K,A61P
A61K,A61K
A61K,A61P
A61K,A61K
A61K,A61P
C07D,C07D
C07D,A61K
A61K,A61P
A61K,A61P
A61K,A61K
C07D,A61K
C07D,A61K
C07C,C07C
A61K,A61P
A61K,A61K
A61K,A61P
A61K,A61P
A61K,A61P
A61K,A61P
A61K,A61P
A61K,A61P
C07D,A61K
A61K,A61P
C07D,A61K
A61K,A61K
C07D,A61P
A61K,A61K
C07D,C07D
C07D,A61P
A61P,A61P
A61K,A61P
A61K,A61P
C07D,C07D
A61K,A61P
A61K,A61P
A61K,A61P
A61K,A61P
A61K,A61P
A61K,A61P
A61K,A61P
A61K,A61P
A61K,A61K
C07D,A61P
C07D,A61P
A61K,A61P
A61K,A61P
A61K,A61K
A61K,A61K
A61K,C07D
A61K,A61P
C07D,A61P
C07C,A61P
A61K,A61P
C07H,A61P
A61K,A61P
A61K,A61P
A61K,A61K
A61K,A61P
A61K,A61P
A61K,A61K
C07D,A61K
A61K,A61L
C07D,C07D
A61K,C07C
C07D,A61P
C07D,C07D
A61K,A61K
C07C,A61K
C07J,A61P
A61K,A01K
A61K,A61P
A61K,A61P
C07D,C12P
C07D,A01N
C07D,A61K
C07D,A61P
C07D,C07D
C07D,C07D
A61K,A61P
C07D,C07D
C07D,C07D
C07F,A61P
A61K,A61P
A61K,A61P
A61K,A61P
A61K,C07H
C07H,A61K
A61K,A61P
C07C,A61K
C07D,C07D
C07D,C07D
A61K,A61P
A61K,A61P
A61K,A61P
A61K,A61P
A61K,A61P
A61K,C07H
A61K,C07C
A61K,A61P
A61K,A61K
C07C,C07C
C07C,C07C
A61K,A61K
A61K,A61K
A61K,A61P
A61K,A61K
A61K,A61P
A61K,A61P
A61K,A61P
A61K,A61P
C07D,C07D
A61K,A61P
A61K,A61P
C07J,A61P
C07C,C07C
A61K,A61P
C07D,C07D
A61K,A61P
C07H,A61K
C07D,A61K
C07D,C07D
A61K,A61P
A61K,A61P
A61K,A61P
A61K,A61K
A61K,A61K
A61K,A61K
A61K,A61K
C07D,A61P
C07H,C07H
A61K,A61K
C07K,C12N
C07K,C12N
A61K,A61P
A61K,A61P
A61K,A61P
A61K,A61P
A61K,A61K
A61K,A61P
A61K,A61P
A61K,A61P
A61K,A61P
A61K,A61K
A61K,A61K
A61K,A61P
A61K,A61P
A61K,A61P
A61K,A61P
A61K,A61P
A61K,A61P
A61K,A61P
A61K,A61P
A61K,A61P
A61K,A61P
A61K,A61P
A61K,C07K
C07K,C12N
A61K,A61P
A61K,A61P
A61P,A61K
C07K,C12N
A61K,A61P
A61K,A61K
A61K,A61P
A61K,A61P
A61K,A61P
A61K,A61P
A61K,A61P
A61K,A61K
A61K,A61P
A61K,A61P
A61K,A61P
A61K,A61P
A61K,A61P
A61K,A61P
A61K,A61P
A61K,A61P
A61K,A61K
A61K,A61P
A61K,A61P
A61K,A61P
A61K,A61P
A61K,A61K
C07K,C07K
C07K,G01N
C12N,A61K
C12N,A61K
C12N,C12R
C12N,C07H
C07K,A61K
A61K,A61K
C07K,C07K
C07K,A61K
C07K,C12N
C07K,C12N
C07K,A61K
C07K,A61K
C07K,C12N
C07K,C12N
C07K,A61K
C07K,G01N
C07K,A61K
A61P,A61K
C12N,A61K
C07H,C12N
C07K,C12N
C07K,A61P
C07K,C12N
A61K,A61K
C07K,C12N
C07K,A61K
C12N,C12N
A61P,G01N
C07K,C12N
C07K,G01N
A61P,C07K
C07K,C12N
C12N,G01N
C07K,G01N
C07K,G01N
C07K,C12N
C12N,G01N
C07K,G01N
A61K,A61K
C12N,A61P
A61K,A61P
A61K,A61K
A61K,A61P
C07K,C07K
A61K,A61P
C07K,C12N
C07K,A61K
C07D,A61K
C07K,A61K
A61K,A61P
A61K,A61K
A61K,A61P
G01N,G01N
C07K,C12N
C07K,A61P
C07K,A61K
C07K,A61P
C07K,A61K
C07K,A61P
C07K,A61K
A61K,C07K
C07K,A61K
C12N,A61K
C07K,A61P
C07K,A61K
C07K,A61K
C07K,A61P
C07K,C12N
C07K,A61K
C07K,C07K
C07K,A61K
C07K,A61K
C07K,A61K
A61K,A61K
C07K,A61K
C07K,C12N
A61K,A61P
C07K,A61P
C07K,A61K
C07K,A61K
A61K,A61K
C07K,A61K
C12N,A61K
A61P,A61K
C12N,C12N
