,Beijing,Shanghai,Guangzhou,Suzhou,Chengdu,Shenzhen,Xi'an,Zhengzhou,Nanjing,Chongqing,Tianjin,Hangzhou,Wuxi,Changsha,Qingdao,Kunming,Harbin,Shenyang,California,Jinan,Wuhan,Hefei,Dalian,Foshan,Fuzhou,Weifang,Dongguan,Tokyo,Zhenjiang,Xiamen,Ningbo,Yangzhou,Changchun,Taizhou,Zhongshan,Nantong,Osaka
Beijing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shanghai,36573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guangzhou,35995,22140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Suzhou,8101,5221,4945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chengdu,14888,9426,9029,2288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shenzhen,8885,5900,5272,1516,2514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Xi'an,5584,3660,3328,953,1626,1251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zhengzhou,5016,3200,3061,817,1371,920,563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nanjing,21652,13438,13380,3046,5532,3331,2087,1865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chongqing,6422,4078,3951,965,1688,1285,738,583,2379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
